Path,Name,Ext,SizeMB,Modified,Hash,Suspicious
C:\Users\Admin\Desktop\4 pm new by tonui.docx,4 pm new by tonui.docx,.docx,0.02,2025-10-28 12:38,,NO
C:\Users\Admin\Desktop\butt.lnk,butt.lnk,.lnk,0.0,2025-04-09 21:03,,NO
C:\Users\Admin\Desktop\desktop.ini,desktop.ini,.ini,0.0,2025-06-22 03:32,,NO
C:\Users\Admin\Desktop\EXIERA DOCS.docx,EXIERA DOCS.docx,.docx,0.01,2025-09-25 16:03,,NO
C:\Users\Admin\Desktop\FCC.lnk,FCC.lnk,.lnk,0.0,2025-05-28 10:19,,NO
C:\Users\Admin\Desktop\medical school.mp3,medical school.mp3,.mp3,6.95,2025-09-21 14:41,,NO
C:\Users\Admin\Desktop\PASTORS FUND RAISING.docx,PASTORS FUND RAISING.docx,.docx,0.01,2025-10-02 07:37,,NO
C:\Users\Admin\Desktop\quiz to quest.docx,quiz to quest.docx,.docx,0.02,2025-07-05 20:24,,NO
C:\Users\Admin\Desktop\taach fm.mp3,taach fm.mp3,.mp3,64.76,2025-09-22 09:30,,NO
C:\Users\Admin\Desktop\Taai Fm - Chrome.lnk,Taai Fm - Chrome.lnk,.lnk,0.0,2025-04-19 17:35,,NO
C:\Users\Admin\Desktop\~$AI BURUDANI 8 MARCH.docx,~$AI BURUDANI 8 MARCH.docx,.docx,0.0,2025-03-08 17:55,,NO
C:\Users\Admin\Desktop\~$ai burudani 9 august.docx,~$ai burudani 9 august.docx,.docx,0.0,2025-08-09 19:07,,NO
C:\Users\Admin\Desktop\~$DY SPORTS.docx,~$DY SPORTS.docx,.docx,0.0,2025-01-29 11:06,,NO
C:\Users\Admin\Desktop\~$IERA DOCS.docx,~$IERA DOCS.docx,.docx,0.0,2025-07-03 13:23,,NO
C:\Users\Admin\Desktop\~$IIIIIILOT.docx,~$IIIIIILOT.docx,.docx,0.0,2025-06-09 12:19,,NO
C:\Users\Admin\Desktop\~$iz to quest.docx,~$iz to quest.docx,.docx,0.0,2025-05-21 05:10,,NO
C:\Users\Admin\Desktop\~$IZ TO SENATOR CHEPTOO.docx,~$IZ TO SENATOR CHEPTOO.docx,.docx,0.0,2025-07-30 05:40,,NO
C:\Users\Admin\Desktop\~$KAKUU.docx,~$KAKUU.docx,.docx,0.0,2025-01-22 12:24,,NO
C:\Users\Admin\Desktop\~$KWAI DOCUMENT.docx,~$KWAI DOCUMENT.docx,.docx,0.0,2025-03-26 11:59,,NO
C:\Users\Admin\Desktop\~$MUTAI RONALD public announcement.docx,~$MUTAI RONALD public announcement.docx,.docx,0.0,2025-03-10 09:56,,NO
C:\Users\Admin\Desktop\~$MUTAI RONALD.docx,~$MUTAI RONALD.docx,.docx,0.0,2025-02-14 15:41,,NO
C:\Users\Admin\Desktop\~$N SPORTS.docx,~$N SPORTS.docx,.docx,0.0,2025-03-10 10:28,,NO
C:\Users\Admin\Desktop\~$orts 13th march 2025.docx,~$orts 13th march 2025.docx,.docx,0.0,2025-03-13 11:14,,NO
C:\Users\Admin\Desktop\~$orts 14th march 2025 redo.docx,~$orts 14th march 2025 redo.docx,.docx,0.0,2025-03-14 16:49,,NO
C:\Users\Admin\Desktop\~$orts 19th march 2025 (Autosaved).docx,~$orts 19th march 2025 (Autosaved).docx,.docx,0.0,2025-03-26 12:14,,NO
C:\Users\Admin\Desktop\~$orts 19th march 2025.docx,~$orts 19th march 2025.docx,.docx,0.0,2025-03-20 12:10,,NO
C:\Users\Admin\Desktop\~$pm new by tonui.docx,~$pm new by tonui.docx,.docx,0.0,2025-09-18 13:55,,NO
C:\Users\Admin\Desktop\~$RICHO STORY BY KAKUU.docx,~$RICHO STORY BY KAKUU.docx,.docx,0.0,2025-01-23 11:23,,NO
C:\Users\Admin\Desktop\~$STORS FUND RAISING.docx,~$STORS FUND RAISING.docx,.docx,0.0,2025-09-25 16:12,,NO
C:\Users\Admin\Desktop\~$w Microsoft Word Document.docx,~$w Microsoft Word Document.docx,.docx,0.0,2025-01-13 17:13,,NO
C:\Users\Admin\Desktop\~WRL0003.tmp,~WRL0003.tmp,.tmp,0.03,2025-04-04 09:49,,NO
C:\Users\Admin\Desktop\~WRL0004.tmp,~WRL0004.tmp,.tmp,0.03,2025-04-09 10:17,,NO
C:\Users\Admin\Desktop\~WRL0005.tmp,~WRL0005.tmp,.tmp,0.02,2025-02-05 14:13,,NO
C:\Users\Admin\Desktop\~WRL0006.tmp,~WRL0006.tmp,.tmp,0.02,2025-03-08 17:55,,NO
C:\Users\Admin\Desktop\~WRL0007.tmp,~WRL0007.tmp,.tmp,0.01,2025-01-15 15:55,,NO
C:\Users\Admin\Desktop\~WRL0008.tmp,~WRL0008.tmp,.tmp,0.01,2025-06-09 14:13,,NO
C:\Users\Admin\Desktop\~WRL0009.tmp,~WRL0009.tmp,.tmp,0.02,2025-07-20 09:07,,NO
C:\Users\Admin\Desktop\~WRL0010.tmp,~WRL0010.tmp,.tmp,0.02,2025-09-13 12:50,,NO
C:\Users\Admin\Desktop\~WRL0011.tmp,~WRL0011.tmp,.tmp,0.02,2025-09-15 12:48,,NO
C:\Users\Admin\Desktop\~WRL0012.tmp,~WRL0012.tmp,.tmp,0.02,2025-09-18 15:55,,NO
C:\Users\Admin\Desktop\~WRL0174.tmp,~WRL0174.tmp,.tmp,0.02,2025-02-05 11:18,,NO
C:\Users\Admin\Desktop\~WRL0263.tmp,~WRL0263.tmp,.tmp,0.02,2025-09-17 14:29,,NO
C:\Users\Admin\Desktop\~WRL0508.tmp,~WRL0508.tmp,.tmp,0.02,2025-10-25 08:34,,NO
C:\Users\Admin\Desktop\~WRL0714.tmp,~WRL0714.tmp,.tmp,0.02,2025-10-28 11:51,,NO
C:\Users\Admin\Desktop\~WRL0739.tmp,~WRL0739.tmp,.tmp,0.02,2025-04-02 12:06,,NO
C:\Users\Admin\Desktop\~WRL0846.tmp,~WRL0846.tmp,.tmp,0.02,2025-10-28 07:48,,NO
C:\Users\Admin\Desktop\~WRL1371.tmp,~WRL1371.tmp,.tmp,0.03,2025-04-07 11:27,,NO
C:\Users\Admin\Desktop\~WRL1507.tmp,~WRL1507.tmp,.tmp,0.02,2025-09-14 12:21,,NO
C:\Users\Admin\Desktop\~WRL1588.tmp,~WRL1588.tmp,.tmp,0.02,2025-03-27 14:58,,NO
