Path,Name,Ext,SizeMB,Modified,Hash,Suspicious
C:\Windows\System32\0ae3b998-9a38-4b72-a4c4-06849441518d_Servicing-Stack.dll,0ae3b998-9a38-4b72-a4c4-06849441518d_Servicing-Stack.dll,.dll,0.02,2025-06-25 12:26,,NO
C:\Windows\System32\3bc29097-7317-41d3-93b9-38a48f99d48a_mssrch.dll,3bc29097-7317-41d3-93b9-38a48f99d48a_mssrch.dll,.dll,0.02,2025-10-29 08:11,,NO
C:\Windows\System32\4545ffe2-0dc4-4df4-9d02-299ef204635e_hvsocket.dll,4545ffe2-0dc4-4df4-9d02-299ef204635e_hvsocket.dll,.dll,0.02,2025-06-22 13:23,,NO
C:\Windows\System32\69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll,69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll,.dll,0.02,2025-06-25 12:26,,NO
C:\Windows\System32\6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll,6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll,.dll,0.02,2025-10-01 02:31,,NO
C:\Windows\System32\aadauthhelper.dll,aadauthhelper.dll,.dll,0.43,2025-10-29 08:04,,NO
C:\Windows\System32\aadcloudap.dll,aadcloudap.dll,.dll,0.96,2025-10-29 08:04,,NO
C:\Windows\System32\aadjcsp.dll,aadjcsp.dll,.dll,0.09,2025-06-22 13:11,,NO
C:\Windows\System32\aadtb.dll,aadtb.dll,.dll,1.48,2025-10-29 08:04,,NO
C:\Windows\System32\aadWamExtension.dll,aadWamExtension.dll,.dll,0.22,2025-10-29 07:59,,NO
C:\Windows\System32\AarSvc.dll,AarSvc.dll,.dll,0.54,2025-10-29 07:53,,NO
C:\Windows\System32\AboutSettingsHandlers.dll,AboutSettingsHandlers.dll,.dll,0.88,2025-10-29 08:06,,NO
C:\Windows\System32\AboveLockAppHost.dll,AboveLockAppHost.dll,.dll,0.39,2025-08-29 21:59,,NO
C:\Windows\System32\accessibilitycpl.dll,accessibilitycpl.dll,.dll,0.3,2025-10-29 07:53,,NO
C:\Windows\System32\accountaccessor.dll,accountaccessor.dll,.dll,0.29,2025-06-22 13:27,,NO
C:\Windows\System32\AccountHealth.dll,AccountHealth.dll,.dll,0.22,2025-10-29 07:53,,NO
C:\Windows\System32\AccountsRt.dll,AccountsRt.dll,.dll,0.36,2025-08-29 21:59,,NO
C:\Windows\System32\AcGenral.dll,AcGenral.dll,.dll,0.45,2025-10-29 07:53,,NO
C:\Windows\System32\AcLayers.dll,AcLayers.dll,.dll,0.39,2025-10-29 07:53,,NO
C:\Windows\System32\acledit.dll,acledit.dll,.dll,0.03,2024-04-01 10:22,,NO
C:\Windows\System32\aclui.dll,aclui.dll,.dll,0.55,2025-10-29 07:53,,NO
C:\Windows\System32\acmigration.dll,acmigration.dll,.dll,0.61,2025-10-29 07:55,,NO
C:\Windows\System32\ACPBackgroundManagerPolicy.dll,ACPBackgroundManagerPolicy.dll,.dll,0.25,2025-10-29 07:53,,NO
C:\Windows\System32\acppage.dll,acppage.dll,.dll,0.16,2025-10-29 07:53,,NO
C:\Windows\System32\acproxy.dll,acproxy.dll,.dll,0.04,2024-04-01 10:22,,NO
C:\Windows\System32\AcSpecfc.dll,AcSpecfc.dll,.dll,0.13,2025-10-29 07:53,,NO
C:\Windows\System32\ActionCenter.dll,ActionCenter.dll,.dll,0.32,2025-06-22 13:14,,NO
C:\Windows\System32\ActionCenterCPL.dll,ActionCenterCPL.dll,.dll,0.15,2025-06-22 13:14,,NO
C:\Windows\System32\ActionQueue.dll,ActionQueue.dll,.dll,0.26,2025-06-25 12:26,,NO
